,,,,,UVa Bookstores Web List,,,10/23/2019,,9:48:28AM
,,,,,Copyright University of Virginia,,,,,
Term,Dept,Course,Sect,Instructor,Title,Author,Req Type,ISBN,New,Used
2019VUVA,AAS,1010,100,"OTU, KWAME",CORREGIDORA,JONES,Required,0-8070-6315-0,$18.00,$13.43
2019VUVA,AAS,1010,100,"OTU, KWAME",REVERSING SAIL,GOMEZ,Required,978-0-521-00135-9,$29.99,$14.93
2019VUVA,AAS,1010,100,"OTU, KWAME",HISTORY OF MARY PRINCE,PRINCE,Required,978-0-486-43863-4,$6.95,$3.45
2019VUVA,AAS,1010,100,"OTU, KWAME",SUNDIATA,NIANE,Required,978-1-4058-4942-5,$24.20,$17.16
2019VUVA,AAS,1010,100,"OTU, KWAME",HOMEGOING,"GYASI , YAA",Required,978-1-101-97106-2,$16.00,$7.96
2019VUVA,AAS,1010,100,"OTU, KWAME",SLAVERY AT SEA,MUSTAKEEM,Required,978-0-252-08202-3,$24.95,$18.63
2019VUVA,AAS,1010,100,"OTU, KWAME",**MISEDUCATION OF THE NEGRO,WOODSON,Required,1-4505-3868-1,$8.40,$6.27
2019VUVA,AAS,3500,2,"OTU, KWAME",LEFT OF KARL MARX,DAVIES,Required,0-8223-4116-6,$28.95,$20.87
2019VUVA,AAS,3500,2,"OTU, KWAME",FROM #BLACK LIVES MATTER TO BLACK LIBERATIONTAYLOR,,Required,978-1-60846-562-0,$13.97,$13.30
2019VUVA,AAS,3500,2,"OTU, KWAME",A HISTORY OF PAN-AFRICAN REVOLT,"JAMES, CLR",Required,978-1-60486-095-5,$16.95,$12.66
2019VUVA,AAS,3500,2,"OTU, KWAME",TOWARD THE AFRICAN REVOLUTION,"FANAN, FRANTZ",Required,978-0-8021-3090-7,$17.00,$8.46
2019VUVA,AAS,3500,2,"OTU, KWAME",BLACK LONDON,"MATERA, MARK",Required,978-0-520-28430-2,$37.44,$22.36
2019VUVA,AAS,3500,3,PERRY,PARABLE OF THE SOWER,BUTLER,Required,978-1-5387-3218-2,$16.99,$12.74
2019VUVA,AAS,3500,6,FIELDS,POLLUTED PROMISES,CHECKER,Recommended,0-8147-1658-X,$27.00,$20.15
2019VUVA,AAS,3500,6,FIELDS,ENVIRONMENTAL JUSTICE,RECHTSCHAFFEN,Required,978-1-59460-595-6,$60.00,$45.00
2019VUVA,AAS,3500,6,FIELDS,GARBAGE WARS,PELLOW,Required,978-0-262-66187-4,$24.95,$14.90
2019VUVA,AAS,3500,8,SCOTT,HERITAGE,BRYANT,Required,978-0-8070-2699-1,$26.95,$20.20
2019VUVA,AAS,3559,1,CRAWLEY,COLOR PURPLE,WALKER,Required,0-15-602835-2,$15.99,$7.96
2019VUVA,AAS,3559,1,CRAWLEY,GOD OF THE OPPRESSED,CONE,Required,1-57075-158-7,$24.00,$15.00
2019VUVA,AAS,3559,1,CRAWLEY,IS GOD A WHITE RACIST?,JONES,Required,978-0-8070-1033-4,$30.00,$22.39
2019VUVA,AAS,3559,1,CRAWLEY,SISTERS IN THE WILDERNESS,WILLIAMS,Required,978-1-62698-038-9,$26.00,$19.50
2019VUVA,AAS,3559,1,CRAWLEY,REPLENISHING THE EARTH,MAATHAI,Required,978-0-307-59114-2,$14.00,$10.50
2019VUVA,AAS,3710,1,SHUTT,NISA,SHOSTAK,Required,0-674-00432-9,$32.50,$24.25
2019VUVA,AAS,3710,1,SHUTT,WHAT IS THE WHAT,EGGERS,Required,0-307-38590-6,$16.95,$8.43
2019VUVA,AAS,3710,1,SHUTT,SO LONG A LETTER,BA,Required,1-57766-806-5,$13.50,$9.71
2019VUVA,AAS,3710,1,SHUTT,AYA,ABOUET,Required,978-1-77046-082-9,$24.95,$18.72
2019VUVA,AAS,3745,1,"HAMILTON, NJELLE",HALF OF A YELLOW SUN,ADICHIE,Required,1-4000-9520-4,$15.26,$8.43
2019VUVA,AAS,3745,1,"HAMILTON, NJELLE",PURPLE HIBISCUS,ADICHIE,Required,1-61620-241-6,$15.95,$7.94
2019VUVA,AAS,3745,1,"HAMILTON, NJELLE",BOOK OF PHOENIX,OKORAFOR,Required,0-7564-1078-9,$12.40,$7.46
2019VUVA,AAS,3745,1,"HAMILTON, NJELLE",LAGOON,OKORAFOR,Required,1-4814-4088-8,$16.99,$8.45
2019VUVA,AAS,3745,1,"HAMILTON, NJELLE",BINTI: COMPLETE TRILOGY,OKORAFOR,Required,978-0-7564-1518-1,$26.00,$19.50
2019VUVA,AAS,3745,1,"HAMILTON, NJELLE",AMERICANAH,ADICHIE,Required,978-0-307-45592-5,$11.89,$7.96
2019VUVA,AAS,4501,1,HAROLD,NEW DAY IN BABYLON,VANDEBURG,Required,0-226-84715-2,$32.00,$23.88
2019VUVA,AAS,4501,1,HAROLD,ANGELA DAVIS AN AUTOBIOGRAPHY,DAVIS,Required,0-7178-0667-7,$14.95,$11.28
2019VUVA,AAS,4501,1,HAROLD,WAITING 'TIL THE MIDNIGHT HOUR,JOSEPH,Required,0-8050-8335-9,$21.99,$14.93
2019VUVA,AAS,4501,1,HAROLD,BODY & SOUL,NELSON,Required,978-0-8166-7649-1,$18.95,$14.21
2019VUVA,AAS,4501,1,HAROLD,BUILDING THE BLACK ARTS MOVEMENT,FENDERSON,Required,978-0-252-08422-5,$24.95,$18.70
2019VUVA,AAS,4501,1,HAROLD,WE WANTED A REVOLUTION,MORRIS,Required,978-0-87273-184-4,$24.95,$18.70
2019VUVA,ACCT,3140,701,CARDINE,COST ACCOUNTING,HORNGREN,Pick One,0-13-447558-5,$288.22,$216.17
2019VUVA,ACCT,3140,701,CARDINE,*LL-COST ACCOUNTING,HORNGREN,Pick One,0-13-447603-4,$258.81,$194.11
2019VUVA,ACCT,3140,701,CARDINE,(eBook) Horngren's Cost Accounting,HORNGREN,Optional,978-0-13-447595-0,$69.99,$0.00
2019VUVA,ACCT,5210,701,EVANS,*STAND ALONE AUDITING & ASSURANCE SERVICES CONNECT CODELOUWERS,,Pick One,978-1-259-73159-4,$137.51,$116.90
2019VUVA,ACCT,5210,701,EVANS,**LL: AUDITING & ASSURNACE SERVICES W/CONNECTLOUWERS,,Pick One,978-1-260-14932-6,$256.84,$218.30
2019VUVA,AMST,1050,1,VON DAACKE,SLAVERY AND THE UNIVERSITY,HARRIS,Required,978-0-8203-5442-2,$34.95,$26.20
2019VUVA,AMST,1050,1,VON DAACKE,EDUCATED IN TYRANNY,MCINNIS,Required,978-0-8139-4286-5,$29.95,$22.50
2019VUVA,AMST,2559,2,JERNIGAN,THERE THERE,ORANGE,Required,978-0-525-43614-0,$16.00,$12.00
2019VUVA,AMST,3001,1,SHUKLA,SOULS OF BLACK FOLK,DUBOIS,Required,0-486-28041-1,$5.00,$3.00
2019VUVA,AMST,3001,1,SHUKLA,LET US NOW PRAISE FAMOUS MEN (UPDATE),AGEE,Required,0-618-12749-6,$11.60,$9.43
2019VUVA,AMST,3001,1,SHUKLA,NO-NO BOY,OKADA,Required,978-0-295-99404-8,$16.95,$14.90
2019VUVA,AMST,3001,1,SHUKLA,CRYSTAL FRONTIER,FUENTES,Required,978-0-15-600620-0,$24.95,$12.40
2019VUVA,AMST,3200,1,BALFOUR,SOULS OF BLACK FOLK,DUBOIS,Required,0-312-09114-1,$20.99,$16.93
2019VUVA,AMST,3200,1,BALFOUR,BELOVED W/NEW FOREWORD,MORRISON,Required,1-4000-3341-1,$12.53,$7.96
,,,,,Page 1 of 79,,,,,
Term,Dept,Course,Sect,Instructor,Title,Author,Req Type,ISBN,New,Used
2019VUVA,AMST,3200,1,BALFOUR,SELECTED WRITINGS & SPEECHES OF MARCUS GARVEYGARVEY,,Required,0-486-43787-6,$6.00,$2.99
2019VUVA,AMST,3200,1,BALFOUR,WHERE DO WE GO FROM HERE? (INTRO: HARDING )KING,,Required,0-8070-0067-1,$16.00,$7.46
2019VUVA,AMST,3200,1,BALFOUR,NOTES OF A NATIVE SON,BALDWIN,Required,0-8070-0623-8,$15.00,$11.25
2019VUVA,AMST,3200,1,BALFOUR,ARE PRISONS OBSOLETE?,DAVIS,Required,978-1-58322-581-3,$11.95,$9.07
2019VUVA,AMST,3200,1,BALFOUR,MY BONDAGE & MY FREEDOM (INTRO: BLIGHT),DOUGLASS,Required,978-0-300-19059-5,$16.00,$12.00
2019VUVA,AMST,3200,1,BALFOUR,ON LYNCHINGS,WELLS-BARNETT,Required,978-0-486-77999-7,$12.95,$6.43
2019VUVA,AMST,3559,2,"ROSS,MARLON B",STREET,PETRY,Required,0-395-90149-9,$15.99,$7.43
2019VUVA,AMST,3559,2,"ROSS,MARLON B",MERIDIAN,WALKER,Required,0-15-602834-4,$15.99,$7.94
2019VUVA,AMST,3559,2,"ROSS,MARLON B",NATIVE SON ABRGD ED,WRIGHT,Required,0-06-053348-X,$15.99,$7.96
2019VUVA,AMST,3559,2,"ROSS,MARLON B",LET ME LIVE,HERNDON,Required,0-472-03199-6,$29.95,$17.88
2019VUVA,AMST,3559,2,"ROSS,MARLON B",DEM,KELLEY,Required,1-56689-102-7,$16.95,$8.43
2019VUVA,AMST,3559,2,"ROSS,MARLON B",IF HE HOLLERS LET HIM GO,HIMES,Required,978-1-56025-445-4,$15.99,$7.96
2019VUVA,AMST,3559,3,"SEWELL, JESSICA",COLOR OF LAW,ROTHSTEIN,Required,978-1-63149-453-6,$17.95,$13.50
2019VUVA,AMST,3559,3,"SEWELL, JESSICA",CHOCOLATE CITIES,HUNTER,Required,978-0-520-29283-3,$29.95,$22.45
2019VUVA,AMST,3559,3,"SEWELL, JESSICA",HOW RACISM TAKES PLACE,LIPSITZ,Required,978-1-4399-0256-1,$30.95,$23.10
2019VUVA,AMST,3559,4,"DEETZ, KELLEY",WHISTLING VIVALDI,STEELE,Required,0-393-33972-6,$15.95,$11.95
2019VUVA,AMST,3559,4,"DEETZ, KELLEY",(eBook) Whistling Vivaldi: And Other Clues to How Stereotypes Affect Us (IssuesSTEELE,,Optional,978-0-393-34148-5,$15.95,$0.00
2019VUVA,AMST,4401,1,BRICKHOUSE,SOUND AND THE FURY,FAULKNER,Required,978-0-679-73224-2,$15.00,$11.25
2019VUVA,AMST,4401,1,BRICKHOUSE,ONE HUNDRED YEARS OF SOLITUDE (TRANS. RABASSA)GARCIA MARQUEZ,,Required,0-06-088328-6,$16.99,$8.46
2019VUVA,AMST,4401,1,BRICKHOUSE,BRIEF WONDROUS LIFE OF OSCAR WAO,DIAZ,Required,1-59448-329-9,$10.21,$7.97
2019VUVA,AMST,4401,1,BRICKHOUSE,I RIGOBERTA MENCHU (2ND),BURGOS-DEBRAY,Required,1-84467-418-5,$23.95,$11.93
2019VUVA,AMST,4401,1,BRICKHOUSE,SALVAGE THE BONES,WARD,Required,1-60819-626-7,$17.00,$8.46
