Dept,Course,Title,Author,New,Used,
AAS,1010,CORREGIDORA,JONES,$18.00 ,$13.43 ,
AAS,1010,REVERSING SAIL,GOMEZ,$29.99 ,$14.93 ,
AAS,1010,HISTORY OF MARY PRINCE,PRINCE,$6.95 ,$3.45 ,
AAS,1010,SUNDIATA,NIANE,$24.20 ,$17.16 ,
AAS,1010,HOMEGOING,"GYASI , YAA",$16.00 ,$7.96 ,
AAS,1010,SLAVERY AT SEA,MUSTAKEEM,$24.95 ,$18.63 ,
AAS,1010,**MISEDUCATION OF THE NEGRO,WOODSON,$8.40 ,$6.27 ,
AAS,3500,LEFT OF KARL MARX,DAVIES,$28.95 ,$20.87 ,
AAS,3500,FROM #BLACK LIVES MATTER TO BLACK LIBERATIONTAYLOR,,$13.97 ,$13.30 ,
AAS,3500,A HISTORY OF PAN-AFRICAN REVOLT,"JAMES, CLR",$16.95 ,$12.66 ,
AAS,3500,TOWARD THE AFRICAN REVOLUTION,"FANAN, FRANTZ",$17.00 ,$8.46 ,
AAS,3500,BLACK LONDON,"MATERA, MARK",$37.44 ,$22.36 ,
AAS,3500,PARABLE OF THE SOWER,BUTLER,$16.99 ,$12.74 ,
AAS,3500,POLLUTED PROMISES,CHECKER,$27.00 ,$20.15 ,
AAS,3500,ENVIRONMENTAL JUSTICE,RECHTSCHAFFEN,$60.00 ,$45.00 ,
AAS,3500,GARBAGE WARS,PELLOW,$24.95 ,$14.90 ,
AAS,3500,HERITAGE,BRYANT,$26.95 ,$20.20 ,
AAS,3559,COLOR PURPLE,WALKER,$15.99 ,$7.96 ,
AAS,3559,GOD OF THE OPPRESSED,CONE,$24.00 ,$15.00 ,
AAS,3559,IS GOD A WHITE RACIST?,JONES,$30.00 ,$22.39 ,
AAS,3559,SISTERS IN THE WILDERNESS,WILLIAMS,$26.00 ,$19.50 ,
AAS,3559,REPLENISHING THE EARTH,MAATHAI,$14.00 ,$10.50 ,
AAS,3710,NISA,SHOSTAK,$32.50 ,$24.25 ,
AAS,3710,WHAT IS THE WHAT,EGGERS,$16.95 ,$8.43 ,
AAS,3710,SO LONG A LETTER,BA,$13.50 ,$9.71 ,
AAS,3710,AYA,ABOUET,$24.95 ,$18.72 ,
AAS,3745,HALF OF A YELLOW SUN,ADICHIE,$15.26 ,$8.43 ,
AAS,3745,PURPLE HIBISCUS,ADICHIE,$15.95 ,$7.94 ,
AAS,3745,BOOK OF PHOENIX,OKORAFOR,$12.40 ,$7.46 ,
AAS,3745,LAGOON,OKORAFOR,$16.99 ,$8.45 ,
AAS,3745,BINTI: COMPLETE TRILOGY,OKORAFOR,$26.00 ,$19.50 ,
AAS,3745,AMERICANAH,ADICHIE,$11.89 ,$7.96 ,
AAS,4501,NEW DAY IN BABYLON,VANDEBURG,$32.00 ,$23.88 ,
AAS,4501,ANGELA DAVIS AN AUTOBIOGRAPHY,DAVIS,$14.95 ,$11.28 ,
AAS,4501,WAITING 'TIL THE MIDNIGHT HOUR,JOSEPH,$21.99 ,$14.93 ,
AAS,4501,BODY & SOUL,NELSON,$18.95 ,$14.21 ,
AAS,4501,BUILDING THE BLACK ARTS MOVEMENT,FENDERSON,$24.95 ,$18.70 ,
AAS,4501,WE WANTED A REVOLUTION,MORRIS,$24.95 ,$18.70 ,
ACCT,3140,COST ACCOUNTING,HORNGREN,$288.22 ,$216.17 ,
ACCT,3140,*LL-COST ACCOUNTING,HORNGREN,$258.81 ,$194.11 ,
ACCT,3140,(eBook) Horngren's Cost Accounting,HORNGREN,$69.99 ,$0.00 ,
ACCT,5210,*STAND ALONE AUDITING & ASSURANCE SERVICES CONNECT CODELOUWERS,,$137.51 ,$116.90 ,
ACCT,5210,**LL: AUDITING & ASSURNACE SERVICES W/CONNECTLOUWERS,,$256.84 ,$218.30 ,
AMST,1050,SLAVERY AND THE UNIVERSITY,HARRIS,$34.95 ,$26.20 ,
AMST,1050,EDUCATED IN TYRANNY,MCINNIS,$29.95 ,$22.50 ,
AMST,2559,THERE THERE,ORANGE,$16.00 ,$12.00 ,
AMST,3001,SOULS OF BLACK FOLK,DUBOIS,$5.00 ,$3.00 ,
AMST,3001,LET US NOW PRAISE FAMOUS MEN (UPDATE),AGEE,$11.60 ,$9.43 ,
AMST,3001,NO-NO BOY,OKADA,$16.95 ,$14.90 ,
AMST,3001,CRYSTAL FRONTIER,FUENTES,$24.95 ,$12.40 ,
AMST,3200,SOULS OF BLACK FOLK,DUBOIS,$20.99 ,$16.93 ,
AMST,3200,BELOVED W/NEW FOREWORD,MORRISON,$12.53 ,$7.96 ,
,,Page 1 of 79,,,,
Dept,Course,Title,Author,New,Used,
AMST,3200,SELECTED WRITINGS & SPEECHES OF MARCUS GARVEYGARVEY,,$6.00 ,$2.99 ,
AMST,3200,WHERE DO WE GO FROM HERE? (INTRO: HARDING )KING,,$16.00 ,$7.46 ,
