LocationName,LocationType,Address
Community College of the Air Force,Institution,"130 W Maxwell Blvd, Montgomery, AL 36112-6613"
Community College of the Air Force,Additional Location,"2250 Stanley Road, Unit 161, Fort Sam Houston, TX 78234-6400"
Alabama A & M University,Institution,"4900 Meridian Street, Normal, AL 35762"
University of Alabama at Birmingham,Institution,"1720 2nd Avenue South, Birmingham, AL 35233"
UAB School of Optometry,Additional Location,"1716 University Boulevard, Birmingham, AL 35294"
UAB School of Dentistry,Additional Location,"Old Hillman Bldg 1919 7th Avenue South, Birmingham, AL 35233"
Amridge University,Institution,"1200 Taylor Rd, Montgomery, AL 36117-3553"
University of Alabama at Huntsville,Institution,"301 Sparkman Dr, Huntsville, AL 35899"
Alabama State University,Institution,"915 S Jackson Street, Montgomery, AL 36104"
The University of Alabama,Institution,"739 University Boulevard, Tuscaloosa, AL 35487-0100"
Central Alabama Community College,Institution,"1675 Cherokee Road, Alexander City, AL 35010"
Childersburg Campus,Additional Location,"34091 US Hwy. 280, Childersburg, AL 35044"
Alexander City Campus,Additional Location,"1675 Cherokee Road PO Box 699, Alexander City, AL 35010"
Athens State University,Institution,"300 N Beaty St, Athens, AL 35611"
Northeast Alabama CC,Additional Location,"138 Lowell Barron Highway W, Rainsville, AL 35986"
Northwest - Shoals Alabama CC,Additional Location,"800 George Wallace Road, Muscle Shoals, AL 35662"
Redstone Arsenal,Additional Location,"Bldg. 3200, Little John Road Athens State Universi, Redstone Arsenal, AL 35898"
Snead State CC,Additional Location,"220 North Walnut Street, Boaz, AL 35957"
Wallace State Comm Coll - Hanceville,Additional Location,"801 Main Street, Hanceville, AL 35077"
Auburn University-Montgomery,Institution,"7440 East Drive P.O. Box 244023, Montgomery, AL 36117-3596"
Auburn University Main Campus,Institution,"107 Samford Hall, Auburn University, AL 36849"
Mobile Campus (Pharmacy),Additional Location,"USA Rsch Park 650 Clinic Drive, Rm 2100, Mobile, AL 36688-0002"
Birmingham Southern College,Institution,"900 Arkadelphia Road, Birmingham, AL 35254"
Chattahoochee Valley Community College,Institution,"2602 College Dr, Phenix City, AL 36869"
Concordia College Alabama,Institution,"1804 Green Street, Selma, AL 36701"
DCH Regional Medical Center,Site,"809 University Blvd., East, Tuscaloosa, AL 35401"
Enterprise State Community College,Institution,"600 Plaza Drive, Enterprise, AL 36330-1300"
AAC at Mobile,Additional Location,"1975 Ave C, Mobile, AL 36615-1403"
AAC at Ozark,Additional Location,"3405 Hwy 231 S, Ozark, AL 36360"
James H. Faulkner State Community College,Institution,"1900 US Hwy 31 S, Bay Minette, AL 36507-2698"
Faulkner State Fairhope Campus,Additional Location,"440 Fairhope Ave, Fairhope, AL 36532"
Faulkner State Gulf Shores Campus,Additional Location,"3301 Gulf Shores Pkwy, Gulf Shores, AL 36542"
Faulkner State at Daphne High School,Additional Location,"9300 Lawson Rd, Daphne, AL 36526"
Faulkner University,Institution,"5345 Atlanta Hwy, Montgomery, AL 36109-3378"
FAULKNER UNIVERSITY-HUNTSVILLE,Additional Location,"420 WYNN DR, HUNTSVILLE, AL 35805-1963"
Birmingham,Additional Location,"2200 Riverchase Center, Birmingham, AL 35244"
Mobile,Additional Location,"917 Western American Circle, Mobile, AL 36609"
Gadsden Business College,Institution,"3225 Rainbow Drive Suite 246, Rainbow City, AL 35906"
Gadsden Business College - Anniston Campus,Additional Location,"1805 Hillyer Robinson Industrial Parkway, Suite B, Anniston, AL 36207"
Gadsden State Community College,Institution,"1001 George Wallace Dr., Gadsden, AL 35902-0227"
Gadsden State Community College - Ayers Campus,Additional Location,"1801 Coleman Road, Anniston, AL 36207"
George C Wallace Community College,Institution,"1141 Wallace Drive, Dothan, AL 36303-9234"
Ft. Rucker Center,Additional Location,"Building 4502 Kingsman Street, Fort Rucker, AL 36362"
Sparks Campus,Additional Location,"3235 South Eufaula Ave., Eufaula, AL 36027"
Clanton Ext,Additional Location,"2829 Fourth Avenue North, Clanton, AL 35045"
Wallace State Community College  - Hanceville,Institution,"801 Main St. P. O. Box 2000, Hanceville, AL 35077-2000"
George Corley Wallace State Community College - Selma,Institution,"3000 Earl Goodwin Parkway, Selma, AL 36703-2808"
Huntingdon College,Institution,"1500 East Fairview Avenue, Montgomery, AL 36106-2148"
Huntsville Hospital,Site,"101 Sivley Road, Huntsville, AL 35801"
Heritage Christian University,Institution,"3625 Helton Dr, PO Box HCU, Florence, AL 35630-9977"
J.F. Drake State Community and Technical College,Institution,"3421 Meridian St North, Huntsville, AL 35811"
J F Ingram State Technical College,Institution,"5375 Ingram Road, Deatsville, AL 36022"
"J. F. Ingram State Technical College, Donaldson Correctional Facility",Additional Location,"100 Warrior Lane, 100 Warrior Lane, AL 35023"
"J. F. Ingram State Technical College, Draper Instructional Service Center",Additional Location,"2800 Alabama Highway 143, Elmore, AL 36025"
"J. F. Ingram State Technical College, Tutwiler Instructional Service Center",Additional Location,"8970 U.S. Highway 231 North, Wetumpka, AL 36092"
"J. F. Ingram State Technical College, Bibb Correctional Facility",Additional Location,"565 Bibb Lane, Brent, AL 35034"
Jacksonville State University,Institution,"700 Pelham Road North, Jacksonville, AL 36265"
Jefferson Davis Community College,Institution,"220 Alco Dr, Brewton, AL 36426"
Atmore,Additional Location,"6574 Highway 21 PO Box 1119, Atmore, AL 36504"
Jefferson State Community College,Institution,"2601 Carson Rd, Birmingham, AL 35215-3098"
Richard M. Scrushy Campus,Additional Location,"4600 Valleydale Rd, Birmingham, AL 35242"
Calhoun Community College,Institution,"6250 U S Highway 31 N, Tanner, AL 35671"
Decatur Fire and Rescue Center,Additional Location,"4119 Old Hwy 31, SW, Decatur, AL 35603"
Judson College,Institution,"302 Bibb St, Marion, AL 36756"
University of West Alabama,Institution,"205 North Washington Street, Livingston, AL 35470"
Lurleen B Wallace Community College,Institution,"1000 Dannelly Blvd., Andalusia, AL 36420-1418"
Lurleen B Wallace Community College - Greenville Campus,Additional Location,"750 Greenville Bypass, Greenville, AL 36037"
Lurleen B Wallace Community College - Springdale,Additional Location,"521 E. Three Notch Street, Andalusia, AL 36420"
MacArthur Campus,Additional Location,"1708 Main, Opp, AL 36467"
Marion Military Institute,Institution,"1101 Washington St, Marion, AL 36756"
Miles College,Institution,"5500 Myron Massey Blvd, Fairfield, AL 35064"
University of Mobile,Institution,"5735 College Parkway Drive, Mobile, AL 36663-0220"
University of Montevallo,Institution,"Station 6001, Montevallo, AL 35115"
Northwest-Shoals Community College - Muscle Shoals,Institution,"800 George Wallace Blvd, Muscle Shoals, AL 35661"
Phil Campbell Campus,Additional Location,"2080 College Road, Phil Campbell, AL 35581"
Shoals Campus,Additional Location,"800 George Wallace Blvd., Muscle Shoals, AL 35661"
University of North Alabama,Institution,"One Harrison Plaza, Florence, AL 35632-0001"
Northeast Alabama Community College,Institution,"138 Alabama Highway 35, Rainsville, AL 35986"
